street,formula,pot_type,board_family,mv_cat,dv_cat,bet_size,n,n_huge,mean_loss,huge_loss,acc%,modal_fold%,modal_call%,modal_raise%
flop,v8a,MTT100,dry_high,set,no_draw,—,60,22,0.486,1.038,8.3,0.0,8.3,91.7
flop,v9b,MTT100,dry_high,set,no_draw,—,60,22,0.486,1.038,8.3,0.0,8.3,91.7
flop,v8a,MTT100,dry_high,ace_high,twocards_bdfd,—,112,35,0.338,1.031,54.5,38.4,54.5,7.1
flop,v8a,MTT100,dry_high,king_high,onecard_bdfd,—,204,58,0.338,1.014,53.4,42.6,53.4,3.9
flop,v9b,MTT100,low_dry,ace_high,gutshot,—,62,11,1.219,1.014,12.9,12.9,87.1,0.0
flop,v8a,MTT100,dry_high,third_pair,no_draw,—,681,121,1.004,0.948,22.5,22.5,73.0,4.6
flop,v9b,MTT100,dry_high,third_pair,no_draw,—,681,121,1.004,0.948,22.5,22.5,73.0,4.6
flop,v8a,MTT100,dynamic,ace_high,oesd,—,60,13,0.292,0.89,55.0,43.3,55.0,1.7
flop,v9b,MTT100,dynamic,ace_high,oesd,—,60,13,0.292,0.89,55.0,43.3,55.0,1.7
flop,v8a,MTT100,low_dry,ace_high,onecard_bdfd,—,72,42,0.579,0.861,41.7,58.3,41.7,0.0
flop,v8a,MTT100,dynamic_2tone,king_high,oesd,—,60,8,0.139,0.828,56.7,21.7,56.7,21.7
flop,v9b,MTT100,dynamic_2tone,king_high,oesd,—,60,8,0.139,0.828,56.7,21.7,56.7,21.7
flop,v8a,MTT100,dynamic,third_pair,no_draw,—,100,80,0.728,0.827,0.0,100.0,0.0,0.0
flop,v9b,MTT100,dynamic,third_pair,no_draw,—,100,80,0.728,0.827,0.0,100.0,0.0,0.0
flop,v8a,MTT100,low_dry,no_made_hand,gutshot,—,183,65,0.338,0.824,42.1,47.5,42.1,10.4
flop,v8a,MTT100,dynamic,third_pair,gutshot,—,63,20,0.325,0.799,52.4,47.6,52.4,0.0
flop,v9b,MTT100,dynamic,third_pair,gutshot,—,63,20,0.325,0.799,52.4,47.6,52.4,0.0
flop,v8a,MTT100,dry_high,two_pair,no_draw,—,196,22,0.162,0.765,30.1,0.0,30.1,69.9
flop,v9b,MTT100,dry_high,two_pair,no_draw,—,196,22,0.162,0.765,30.1,0.0,30.1,69.9
flop,v8a,MTT100,dry_high,no_made_hand,gutshot,—,603,64,0.122,0.759,44.9,29.5,44.9,25.5
flop,v8a,MTT100,dynamic_2tone,no_made_hand,oesd,—,297,32,0.168,0.746,31.0,46.8,31.0,22.2
flop,v9b,MTT100,dynamic_2tone,no_made_hand,oesd,—,297,32,0.168,0.746,31.0,46.8,31.0,22.2
flop,v8a,MTT100,dynamic,king_high,oesd,—,64,26,0.299,0.724,40.6,40.6,40.6,18.8
flop,v9b,MTT100,dynamic,king_high,oesd,—,64,26,0.299,0.724,40.6,40.6,40.6,18.8
flop,v8a,MTT100,dry_high,king_high,twocards_bdfd,—,124,40,0.24,0.705,71.0,21.0,71.0,8.1
flop,v8a,MTT100,dynamic_2tone,second_pair,no_draw,—,82,62,0.513,0.679,24.4,75.6,24.4,0.0
flop,v9b,MTT100,dynamic_2tone,second_pair,no_draw,—,82,62,0.513,0.679,24.4,75.6,24.4,0.0
flop,v8a,MTT100,dynamic,second_pair,gutshot,—,60,10,0.116,0.643,81.7,18.3,81.7,0.0
