board_family,board_label,board_str,hero_polarization,hero_pos,hero_strong_pct,hero_total_combos,hero_weak_pct,n_combos,opp_draw_pct,opp_nut_class,opp_nut_eq_median,opp_nut_pct,opp_polarization,opp_pos,opp_strong_pct,opp_total_combos,opp_weak_pct,source,spot_file,target
dynamic_2tone,dynamic_2tone_T83,Th8h3c,0.691,BTN,0.079,496.8,0.612,,0.115,flush,,0.0,0.628,BB,0.029,564.3,0.599,R3_ip_post_check,r3_dynamic_2tone_T83_ip_post_check.json,flop_init_ip
dynamic_2tone,dynamic_2tone_T83,Th8h3c,0.628,BB,0.029,564.4,0.599,,0.11,flush,,0.0,0.691,BTN,0.079,496.8,0.612,R3_open,r3_dynamic_2tone_T83_open.json,flop_init_oop
dynamic_2tone,dynamic_2tone_T97,Ts9s7c,0.622,BTN,0.113,480.5,0.509,,0.267,flush,,0.0,0.591,BB,0.064,548.5,0.528,R3_ip_post_check,r3_dynamic_2tone_T97_ip_post_check.json,flop_init_ip
dynamic_2tone,dynamic_2tone_T97,Ts9s7c,0.595,BB,0.066,557.0,0.53,,0.255,flush,,0.0,0.622,BTN,0.113,480.5,0.509,R3_open,r3_dynamic_2tone_T97_open.json,flop_init_oop
dynamic,dynamic_654,6s5d4h,0.825,BTN,0.13,509.2,0.695,,0.15,straight,0.954,0.026,0.876,BB,0.088,152.2,0.787,R3_ip_post_check,r3_dynamic_654_ip_post_check.json,flop_init_ip
dynamic,dynamic_654,6s5d4h,0.766,BB,0.117,574.5,0.649,,0.128,straight,0.941,0.008,0.825,BTN,0.13,509.2,0.695,R3_open,r3_dynamic_654_open.json,flop_init_oop
dynamic,dynamic_987,9s8c7d,0.662,BTN,0.146,487.5,0.516,,0.275,straight,0.888,0.053,0.625,BB,0.11,546.2,0.515,R3_ip_post_check,r3_dynamic_987_ip_post_check.json,flop_init_ip
dynamic,dynamic_987,9s8c7d,0.629,BB,0.112,554.0,0.517,,0.259,straight,0.934,0.049,0.662,BTN,0.146,487.5,0.516,R3_open,r3_dynamic_987_open.json,flop_init_oop
dynamic,dynamic_J97,Jh9c7s,0.61,BTN,0.105,480.6,0.505,,0.064,straight,0.919,0.025,0.605,BB,0.059,557.7,0.547,R3_ip_post_check,r3_dynamic_J97_ip_post_check.json,flop_init_ip
dynamic,dynamic_J97,Jh9c7s,0.605,BB,0.059,560.2,0.546,,0.077,straight,0.925,0.022,0.61,BTN,0.105,480.6,0.505,R3_open,r3_dynamic_J97_open.json,flop_init_oop
