probe_id,purpose,flop,scenario_type,category,boundary_type,n_drill_cards,action_type,action_name,betsize,betsize_by_pot,total_frequency,total_ev,total_combos,is_allin
bound_9s8d7c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,9s8d7c,SRP_flop+3BP+4BP,dynamic_clear,dynamic vs medium,0,CHECK,CHECK,0,,0.9401,0.0,1105.591332435608,False
bound_9s8d7c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,9s8d7c,SRP_flop+3BP+4BP,dynamic_clear,dynamic vs medium,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0599,0.0,70.40870261192322,False
bound_as9d4c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,as9d4c,SRP_flop+3BP+4BP,ace_high_dry,ace_high boundary,0,CHECK,CHECK,0,,0.9473,0.0,1114.0208945274353,False
bound_as9d4c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,as9d4c,SRP_flop+3BP+4BP,ace_high_dry,ace_high boundary,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0527,0.0,61.979092329740524,False
bound_as9d4c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,as9d4c,SRP_flop+3BP+4BP,ace_high_dry,ace_high boundary,0,CHECK,CHECK,0,,0.9473,0.0,1114.0208945274353,False
bound_as9d4c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,as9d4c,SRP_flop+3BP+4BP,ace_high_dry,ace_high boundary,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0527,0.0,61.979092329740524,False
bound_astd4c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,astd4c,SRP_flop+3BP+4BP,ace_high_kicker,ace_high boundary,0,CHECK,CHECK,0,,0.9621,0.0,1131.3829507827759,False
bound_astd4c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,astd4c,SRP_flop+3BP+4BP,ace_high_kicker,ace_high boundary,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0379,0.0,44.617022931575775,False
bound_astd4c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,astd4c,SRP_flop+3BP+4BP,ace_high_kicker,ace_high boundary,0,CHECK,CHECK,0,,0.9621,0.0,1131.3829507827759,False
bound_astd4c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,astd4c,SRP_flop+3BP+4BP,ace_high_kicker,ace_high boundary,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0379,0.0,44.617022931575775,False
bound_astd9c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,astd9c,SRP_flop+3BP+4BP,ace_high_broadway,ace_high boundary,0,CHECK,CHECK,0,,0.9604,0.0,1129.467182636261,False
bound_astd9c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,astd9c,SRP_flop+3BP+4BP,ace_high_broadway,ace_high boundary,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0396,0.0,46.53279983997345,False
bound_astd9c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,astd9c,SRP_flop+3BP+4BP,ace_high_broadway,ace_high boundary,0,CHECK,CHECK,0,,0.9604,0.0,1129.467182636261,False
bound_astd9c_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,astd9c,SRP_flop+3BP+4BP,ace_high_broadway,ace_high boundary,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0396,0.0,46.53279983997345,False
bound_jstc4s_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,jstc4s,SRP_flop+3BP+4BP,two_tone_spread,monotone vs 2-tone,0,CHECK,CHECK,0,,0.9953,0.0,1170.5286598205566,False
bound_jstc4s_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,jstc4s,SRP_flop+3BP+4BP,two_tone_spread,monotone vs 2-tone,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0047,0.0,5.47135441750288,False
bound_jstc4s_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,jstc4s,SRP_flop+3BP+4BP,two_tone_spread,monotone vs 2-tone,0,CHECK,CHECK,0,,0.9953,0.0,1170.5286598205566,False
bound_jstc4s_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,jstc4s,SRP_flop+3BP+4BP,two_tone_spread,monotone vs 2-tone,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0047,0.0,5.47135441750288,False
bound_jsts4h_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,jsts4h,SRP_flop+3BP+4BP,two_tone,monotone vs 2-tone,0,CHECK,CHECK,0,,0.9924,0.0,1167.0581130981445,False
bound_jsts4h_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,jsts4h,SRP_flop+3BP+4BP,two_tone,monotone vs 2-tone,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0076,0.0,8.941881973296404,False
bound_jsts4h_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,jsts4h,SRP_flop+3BP+4BP,two_tone,monotone vs 2-tone,0,CHECK,CHECK,0,,0.9924,0.0,1167.0581130981445,False
bound_jsts4h_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,jsts4h,SRP_flop+3BP+4BP,two_tone,monotone vs 2-tone,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0076,0.0,8.941881973296404,False
bound_jsts4s_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,jsts4s,SRP_flop+3BP+4BP,monotone_3spade,monotone vs 2-tone,0,CHECK,CHECK,0,,0.9917,0.0,1166.195803642273,False
bound_jsts4s_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,jsts4s,SRP_flop+3BP+4BP,monotone_3spade,monotone vs 2-tone,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0083,0.0,9.804221548140049,False
bound_jsts4s_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,jsts4s,SRP_flop+3BP+4BP,monotone_3spade,monotone vs 2-tone,0,CHECK,CHECK,0,,0.9917,0.0,1166.195803642273,False
bound_jsts4s_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,jsts4s,SRP_flop+3BP+4BP,monotone_3spade,monotone vs 2-tone,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0083,0.0,9.804221548140049,False
bound_kh9c5d_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,kh9c5d,SRP_flop+3BP+4BP,merged_high,dry_high boundary,0,CHECK,CHECK,0,,0.9508,0.0,1118.1646342277527,False
bound_kh9c5d_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,kh9c5d,SRP_flop+3BP+4BP,merged_high,dry_high boundary,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0492,0.0,57.83539643883705,False
bound_kh9c5d_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,kh9c5d,SRP_flop+3BP+4BP,merged_high,dry_high boundary,0,CHECK,CHECK,0,,0.9508,0.0,1118.1646342277527,False
bound_kh9c5d_SRP_flop_3BP_4BP_btn_v_bb_srp,boundary_validation,kh9c5d,SRP_flop+3BP+4BP,merged_high,dry_high boundary,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0492,0.0,57.83539643883705,False
bound_ks8d2c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,ks8d2c,SRP_flop+3BP+4BP,dry_high_kicker,dry_high boundary,0,CHECK,CHECK,0,,0.9498,0.0,1116.921778678894,False
bound_ks8d2c_SRP_flop_3BP_4BP_btn_v_bb,boundary_validation,ks8d2c,SRP_flop+3BP+4BP,dry_high_kicker,dry_high boundary,0,RAISE,BET,6.5,1.140350877192982456140350877,0.0502,0.0,59.07818627357483,False
