size_bucket,equity_bucket,mv_cat,board_family,dv_cat,median,iqr,count,pred_band
big (≥85%),trash_hands,third_pair,dynamic,no_draw,0.0006,0.09305,222,CHECK主体
big (≥85%),weak_hands,ace_high,dynamic,oesd,0.0001,0.0001,144,CHECK主体
big (≥85%),weak_hands,ace_high,dynamic,twocards_bdfd,0.0041,0.0596,330,CHECK主体
small (≤33%),weak_hands,ace_high,dynamic,oesd,0.0,0.0,64,CHECK主体
big (≥85%),weak_hands,king_high,dynamic,oesd,0.0010500000000000002,0.06509999999999999,344,CHECK主体
big (≥85%),weak_hands,low_pair,dynamic,gutshot,0.0002,0.0004,280,CHECK主体
big (≥85%),weak_hands,low_pair,dynamic,no_draw,0.0001,0.0006,1916,CHECK主体
big (≥85%),weak_hands,low_pair,dynamic,oesd,0.0003,0.00030000000000000003,63,CHECK主体
small (≤33%),weak_hands,low_pair,dynamic,gutshot,0.0001,0.018775,192,CHECK主体
big (≥85%),weak_hands,overpair,dynamic,no_draw,0.00015000000000000001,0.0002,36,CHECK主体
big (≥85%),weak_hands,second_pair,dynamic,gutshot,0.0002,0.0004999999999999999,114,CHECK主体
big (≥85%),weak_hands,second_pair,dynamic,no_draw,0.0001,0.0002,476,CHECK主体
small (≤33%),weak_hands,second_pair,dynamic,no_draw,0.0003,0.0025,270,CHECK主体
small (≤33%),weak_hands,straight,dynamic,no_draw,0.0,0.0,60,CHECK主体
big (≥85%),weak_hands,third_pair,dynamic,gutshot,0.0002,0.00042500000000000003,120,CHECK主体
big (≥85%),weak_hands,third_pair,dynamic,no_draw,0.0,0.0004,583,CHECK主体
small (≤33%),weak_hands,third_pair,dynamic,gutshot,0.0001,0.07535,102,CHECK主体
small (≤33%),weak_hands,third_pair,dynamic,no_draw,0.0011,0.0013,291,CHECK主体
big (≥85%),weak_hands,top_pair,dynamic,gutshot,0.0001,0.0002,84,CHECK主体
big (≥85%),weak_hands,top_pair,dynamic,no_draw,0.0001,0.0003,480,CHECK主体
small (≤33%),weak_hands,top_pair,dynamic,no_draw,0.0005,0.0004999999999999999,243,CHECK主体
big (≥85%),weak_hands,two_pair,dynamic,no_draw,0.0002,0.00019999999999999998,90,CHECK主体
small (≤33%),weak_hands,two_pair,dynamic,no_draw,0.0002,0.0007,133,CHECK主体
small (≤33%),best_hands,overpair,dynamic_2tone,gutshot,0.99935,0.0023249999999999105,92,BET主体
small (≤33%),best_hands,overpair,dynamic_2tone,oesd,0.9827,0.07710000000000006,150,BET主体
big (≥85%),good_hands,low_pair,dynamic_2tone,onecard_bdfd,0.0002,0.0015,86,CHECK主体
small (≤33%),good_hands,low_pair,dynamic_2tone,gutshot,0.0005,0.002475,108,CHECK主体
small (≤33%),good_hands,overpair,dynamic_2tone,gutshot,0.99895,0.06605000000000016,88,BET主体
big (≥85%),weak_hands,ace_high,dynamic_2tone,twocards_bdfd,0.0035,0.0272,41,CHECK主体
big (≥85%),weak_hands,king_high,dynamic_2tone,twocards_bdfd,0.019299999999999998,0.031549999999999995,30,CHECK主体
big (≥85%),weak_hands,low_pair,dynamic_2tone,gutshot,0.0006,0.00030000000000000003,39,CHECK主体
big (≥85%),weak_hands,low_pair,dynamic_2tone,no_draw,0.0004,0.0363,315,CHECK主体
small (≤33%),weak_hands,low_pair,dynamic_2tone,gutshot,0.0008,0.036275,72,CHECK主体
small (≤33%),weak_hands,low_pair,dynamic_2tone,no_draw,0.0007,0.046700000000000005,297,CHECK主体
small (≤33%),weak_hands,third_pair,dynamic_2tone,no_draw,0.0359,0.028600000000000004,132,CHECK主体
big (≥85%),good_hands,overpair,low_dry,no_draw,0.9976,0.07437499999999997,138,BET主体
big (≥85%),weak_hands,low_pair,low_dry,no_draw,0.0002,0.001,291,CHECK主体
big (≥85%),best_hands,fullhouse,paired,no_draw,0.0002,0.0010999999999999998,149,CHECK主体
big (≥85%),best_hands,second_pair,paired,flush_draw,0.0001,0.0013,33,CHECK主体
big (≥85%),best_hands,second_pair,paired,no_draw,0.0005,0.0006,307,CHECK主体
big (≥85%),best_hands,trips,paired,no_draw,0.0002,0.0007,650,CHECK主体
big (≥85%),best_hands,underpair,paired,no_draw,0.0001,0.0005,144,CHECK主体
big (≥85%),good_hands,king_high,paired,no_draw,0.0,0.0002,229,CHECK主体
big (≥85%),good_hands,king_high,paired,nut_flush_draw,0.0,0.0,50,CHECK主体
big (≥85%),good_hands,no_made_hand,paired,flush_draw,0.0,0.0002,51,CHECK主体
big (≥85%),good_hands,no_made_hand,paired,gutshot,0.0001,0.000225,60,CHECK主体
big (≥85%),good_hands,second_pair,paired,no_draw,0.0,0.0002,531,CHECK主体
big (≥85%),good_hands,third_pair,paired,no_draw,0.0,0.0002,825,CHECK主体
big (≥85%),trash_hands,no_made_hand,paired,flush_draw,0.0013,0.0052,63,CHECK主体
big (≥85%),trash_hands,no_made_hand,paired,gutshot,0.0,0.0005,285,CHECK主体
big (≥85%),trash_hands,no_made_hand,paired,no_draw,0.0,0.0006,1950,CHECK主体
big (≥85%),trash_hands,no_made_hand,paired,oesd,0.0002,0.0005,79,CHECK主体
big (≥85%),weak_hands,king_high,paired,no_draw,0.0,0.0001,461,CHECK主体
big (≥85%),weak_hands,low_pair,paired,no_draw,0.0001,0.0006,123,CHECK主体
big (≥85%),weak_hands,no_made_hand,paired,flush_draw,0.0001,0.001,133,CHECK主体
big (≥85%),weak_hands,no_made_hand,paired,gutshot,0.0,0.0001,75,CHECK主体
big (≥85%),weak_hands,no_made_hand,paired,no_draw,0.0,0.0002,1482,CHECK主体
small (≤33%),weak_hands,no_made_hand,paired,flush_draw,0.0005,0.0033,53,CHECK主体
big (≥85%),weak_hands,third_pair,paired,no_draw,0.0,0.0,86,CHECK主体
small (≤33%),best_hands,top_pair,unknown,no_draw,0.994,0.06999999999999995,73,BET主体
