purpose,role,flop,probe_file,preflop,flop_actions_pre,action_type,action_name,betsize,betsize_by_pot,is_allin,total_frequency,total_ev,total_combos
boundary_or_bb_oop,BB,9s8d6c,bound_9s8d6c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0263,0.0,30.920991003513336
boundary_or_bb_oop,BB,9s8d6c,bound_9s8d6c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9737,0.0,1145.079035282135
boundary_or_bb_oop,BB,9s8d6c,bound_9s8d6c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0263,0.0,30.920991003513336
boundary_or_bb_oop,BB,9s8d7c,bound_9s8d7c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9401,0.0,1105.591332435608
boundary_or_bb_oop,BB,9s8d7c,bound_9s8d7c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0599,0.0,70.40870261192322
boundary_or_bb_oop,BB,9s8d7c,bound_9s8d7c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9401,0.0,1105.591332435608
boundary_or_bb_oop,BB,9s8d7c,bound_9s8d7c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0599,0.0,70.40870261192322
boundary_or_bb_oop,BB,as9d4c,bound_as9d4c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9473,0.0,1114.0208945274353
boundary_or_bb_oop,BB,as9d4c,bound_as9d4c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0527,0.0,61.979092329740524
boundary_or_bb_oop,BB,as9d4c,bound_as9d4c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9473,0.0,1114.0208945274353
boundary_or_bb_oop,BB,as9d4c,bound_as9d4c_SRP_flop_3BP_4BP_btn_v_bb_srp.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",RAISE,BET,6.5,1.140350877192982456140350877,False,0.0527,0.0,61.979092329740524
boundary_or_bb_oop,BB,astd4c,bound_astd4c_SRP_flop_3BP_4BP_btn_v_bb.json,F-F-F-R2.6-F-C,"{'type': 'FLOP', 'start_pot': '5.700', 'end_pot': '5.700'}",CHECK,CHECK,0,,False,0.9621,0.0,1131.3829507827759
