size_bucket,equity_bucket,mv_cat,board_family,dv_cat,fold_mean,call_mean,raise_mean,n,pred_modal
mid (50%),weak_hands,no_made_hand,dynamic,no_draw,0.9998741935483871,4.1935483870967746e-05,0.00012580645161290322,31,FOLD
small (≤33%),weak_hands,third_pair,dynamic,no_draw,0.9189648648648648,0.08093513513513514,1.0810810810810812e-05,37,FOLD
small (≤33%),good_hands,ace_high,dynamic_2tone,gutshot,0.002292682926829268,0.9813560975609755,0.016346341463414633,82,CALL
mid (50%),good_hands,overpair,dynamic_2tone,gutshot,0.0,0.057588888888888884,0.9424111111111111,36,RAISE
mid (50%),good_hands,second_pair,dynamic_2tone,flush_draw,0.0,0.9701885714285715,0.029811428571428576,35,CALL
mid (50%),good_hands,second_pair,dynamic_2tone,gutshot,0.016246923076923075,0.8989846153846154,0.08477461538461538,130,CALL
mid (50%),good_hands,second_pair,dynamic_2tone,onecard_bdfd,0.13591338582677165,0.8376377952755906,0.026443307086614173,127,CALL
small (≤33%),good_hands,second_pair,dynamic_2tone,gutshot,0.037072839506172836,0.9122395061728396,0.05068024691358025,81,CALL
small (≤33%),good_hands,second_pair,dynamic_2tone,oesd,0.0,0.9646717948717949,0.035317948717948716,39,CALL
small (≤33%),good_hands,second_pair,dynamic_2tone,onecard_bdfd,0.09840444444444445,0.8984677777777778,0.0031344444444444445,90,CALL
mid (50%),good_hands,third_pair,dynamic_2tone,oesd,8.843537414965987e-05,0.874504081632653,0.12540884353741497,147,CALL
small (≤33%),good_hands,third_pair,dynamic_2tone,gutshot,0.10882261904761904,0.8666666666666666,0.0245047619047619,84,CALL
small (≤33%),good_hands,third_pair,dynamic_2tone,oesd,1.6666666666666667e-05,0.9528854166666667,0.0470875,48,CALL
small (≤33%),good_hands,third_pair,dynamic_2tone,onecard_bdfd,0.0008904761904761906,0.9988785714285714,0.00023571428571428574,42,CALL
mid (50%),good_hands,top_pair,dynamic_2tone,onecard_bdfd,8.484848484848485e-05,0.8960353535353535,0.10388383838383838,99,CALL
mid (50%),good_hands,top_pair,dynamic_2tone,twocards_bdfd,0.00010232558139534885,0.9144558139534884,0.08545116279069767,43,CALL
small (≤33%),good_hands,top_pair,dynamic_2tone,onecard_bdfd,0.00014126984126984127,0.9935698412698413,0.006293650793650794,63,CALL
mid (50%),trash_hands,ace_high,dynamic_2tone,no_draw,0.9999071428571428,0.0,9.285714285714287e-05,56,FOLD
mid (50%),trash_hands,ace_high,dynamic_2tone,onecard_bdfd,0.9982583333333334,0.000825,0.0009138888888888889,36,FOLD
small (≤33%),trash_hands,ace_high,dynamic_2tone,gutshot,0.8865928571428571,0.07998333333333334,0.033414285714285716,42,FOLD
mid (50%),trash_hands,king_high,dynamic_2tone,no_draw,0.9999123076923077,0.0,6.307692307692308e-05,130,FOLD
mid (50%),trash_hands,king_high,dynamic_2tone,onecard_bdfd,0.9996555555555555,0.0,0.00034166666666666666,36,FOLD
mid (50%),trash_hands,no_made_hand,dynamic_2tone,gutshot,0.8267956916099773,0.12628367346938776,0.04690884353741497,441,FOLD
mid (50%),trash_hands,no_made_hand,dynamic_2tone,no_draw,0.9999265734265734,1.4685314685314688e-05,5.314685314685315e-05,286,FOLD
mid (50%),trash_hands,no_made_hand,dynamic_2tone,onecard_bdfd,0.9431114457831326,0.04767409638554217,0.009215060240963855,166,FOLD
mid (50%),trash_hands,no_made_hand,dynamic_2tone,twocards_bdfd,0.9647666666666667,0.03488974358974359,0.0003435897435897436,39,FOLD
small (≤33%),trash_hands,no_made_hand,dynamic_2tone,no_draw,0.9997455813953489,0.00017488372093023256,7.953488372093023e-05,430,FOLD
small (≤33%),trash_hands,no_made_hand,dynamic_2tone,onecard_bdfd,0.9125312500000001,0.08738541666666666,8.333333333333333e-05,288,FOLD
mid (50%),weak_hands,ace_high,dynamic_2tone,no_draw,0.968260396039604,0.031497029702970296,0.00024059405940594057,202,FOLD
mid (50%),weak_hands,king_high,dynamic_2tone,no_draw,0.9997702127659576,0.00011276595744680852,0.00011914893617021277,94,FOLD
mid (50%),weak_hands,low_pair,dynamic_2tone,no_draw,0.999704255319149,0.00019574468085106382,9.361702127659576e-05,47,FOLD
mid (50%),weak_hands,low_pair,dynamic_2tone,onecard_bdfd,0.84653,0.15264666666666665,0.0008066666666666668,60,FOLD
mid (50%),weak_hands,no_made_hand,dynamic_2tone,flush_draw,1.5625e-05,0.89780625,0.102175,32,CALL
mid (50%),weak_hands,no_made_hand,dynamic_2tone,onecard_bdfd,0.848603125,0.147259375,0.0041218750000000005,32,FOLD
mid (50%),weak_hands,second_pair,dynamic_2tone,onecard_bdfd,0.05233421052631579,0.8843157894736842,0.06334999999999999,38,CALL
mid (50%),weak_hands,third_pair,dynamic_2tone,twocards_bdfd,0.03129375,0.937984375,0.030728125,32,CALL
small (≤33%),weak_hands,third_pair,dynamic_2tone,no_draw,0.847505,0.149525,0.0029400000000000003,40,FOLD
mid (50%),best_hands,top_pair,low_dry,no_draw,0.0,0.0395275,0.9604699999999999,40,RAISE
mid (50%),good_hands,ace_high,low_dry,nut_flush_draw,0.0,0.9360148148148149,0.06398518518518519,54,CALL
mid (50%),good_hands,second_pair,low_dry,flush_draw,0.0,0.8704454545454545,0.12955454545454545,66,CALL
mid (50%),good_hands,second_pair,low_dry,onecard_bdfd,8.714285714285714e-05,0.9000817857142857,0.0998375,280,CALL
mid (50%),good_hands,second_pair,low_dry,twocards_bdfd,2.2666666666666668e-05,0.9612153333333333,0.03875933333333333,150,CALL
mid (50%),good_hands,third_pair,low_dry,onecard_bdfd,0.08895481481481482,0.8816696296296297,0.029374074074074073,135,CALL
mid (50%),good_hands,third_pair,low_dry,twocards_bdfd,0.00010050761421319798,0.9730263959390864,0.026880710659898475,197,CALL
mid (50%),good_hands,underpair,low_dry,onecard_bdfd,0.00089375,0.9036104166666666,0.09549999999999999,48,CALL
mid (50%),trash_hands,king_high,low_dry,no_draw,0.9998954022988505,5.632183908045977e-05,4.8275862068965517e-05,87,FOLD
mid (50%),trash_hands,no_made_hand,low_dry,no_draw,0.9841329469188529,0.012358023184868823,0.003508541793776693,1639,FOLD
mid (50%),trash_hands,no_made_hand,low_dry,onecard_bdfd,0.8778568783068783,0.05315820105820105,0.06898492063492064,378,FOLD
mid (50%),trash_hands,no_made_hand,low_dry,twocards_bdfd,0.9030029411764706,0.03417264705882353,0.06282176470588235,340,FOLD
mid (50%),weak_hands,king_high,low_dry,no_draw,0.8311496786042241,0.15005381083562902,0.018793296602387512,1089,FOLD
mid (50%),weak_hands,low_pair,low_dry,no_draw,0.9998333333333334,4.5833333333333334e-05,0.0001,72,FOLD
mid (50%),weak_hands,no_made_hand,low_dry,no_draw,0.8971822894168466,0.07670637149028078,0.02610313174946004,926,FOLD
mid (50%),weak_hands,third_pair,low_dry,onecard_bdfd,0.16103958333333332,0.8259375000000001,0.013033333333333333,48,CALL
small (≤33%),trash_hands,no_made_hand,paired,no_draw,0.8868836440168371,0.060649007817197835,0.05245520144317499,1663,FOLD
