equity_bucket,mv_simple,board_family,dv_cat,median,iqr,count,pred_band,confidence
good_hands,king_high,dynamic,combo_draw,0.866,0.9598500000000001,31,almost_bet,LOW
good_hands,king_high,dynamic,gutshot,0.92245,0.20767500000000005,66,almost_bet,MED
good_hands,king_high,dynamic,oesd,0.725,0.4428,177,lean_bet,LOW
good_hands,king_high,dynamic_2tone,combo_draw,0.68545,0.2579,30,lean_bet,MED
good_hands,king_high,dynamic_2tone,oesd,0.7875,0.17192499999999988,30,lean_bet,MED
good_hands,king_high,monotone,combo_draw,0.3194,0.6849,81,lean_check,LOW
good_hands,king_high,monotone,flush_draw,0.6255,0.7279,90,lean_bet,LOW
good_hands,no_made,dry_high,combo_draw,0.048,0.4563,55,almost_check,LOW
good_hands,no_made,dry_high,flush_draw,0.6715,0.3417,77,lean_bet,LOW
good_hands,no_made,dry_high,gutshot,0.83075,0.3256,316,almost_bet,LOW
good_hands,no_made,dry_high,oesd,0.6298,0.3979,481,lean_bet,LOW
good_hands,no_made,dynamic,combo_draw,0.6635,0.9426000000000001,65,lean_bet,LOW
good_hands,no_made,dynamic,gutshot,0.6956,0.29535,159,lean_bet,MED
good_hands,no_made,dynamic,oesd,0.6524,0.393225,410,lean_bet,LOW
good_hands,no_made,dynamic_2tone,combo_draw,0.67535,0.428725,38,lean_bet,LOW
good_hands,no_made,low_dry,gutshot,0.67815,0.311075,64,lean_bet,LOW
good_hands,no_made,low_dry,oesd,0.3617,0.13904999999999995,31,lean_check,MED
good_hands,no_made,monotone,combo_draw,0.4165,0.7000000000000001,162,pure_mix,LOW
good_hands,no_made,monotone,flush_draw,0.6603,0.34700000000000003,63,lean_bet,LOW
good_hands,no_made,paired,gutshot,0.8915,0.143675,86,almost_bet,MED
good_hands,no_made,paired,oesd,0.6304,0.6611750000000001,36,lean_bet,LOW
good_hands,overpair,dry_high,no_draw,0.5611,0.31155,87,pure_mix,LOW
good_hands,overpair,dynamic,gutshot,0.9586,0.3792,200,almost_bet,LOW
good_hands,overpair,dynamic,no_draw,0.57405,0.47492500000000004,730,pure_mix,LOW
good_hands,overpair,dynamic,oesd,0.41564999999999996,0.8999499999999999,194,pure_mix,LOW
good_hands,overpair,dynamic_2tone,gutshot,0.7211,0.14640000000000009,30,lean_bet,MED
good_hands,overpair,dynamic_2tone,oesd,0.69845,0.3093,30,lean_bet,LOW
good_hands,overpair,low_dry,no_draw,0.348,0.22935,108,lean_check,MED
good_hands,overpair,monotone,flush_draw,0.2529,0.6539,49,lean_check,LOW
good_hands,overpair,monotone,no_draw,0.3326,0.5669500000000001,96,lean_check,LOW
good_hands,overpair,paired,no_draw,0.5812,0.38225000000000003,174,pure_mix,LOW
good_hands,second_pair,dry_high,flush_draw,0.0013,0.0018999999999999998,65,almost_check,HIGH
good_hands,second_pair,dry_high,gutshot,0.0002,0.056575,264,almost_check,HIGH
good_hands,second_pair,dry_high,no_draw,0.0063,0.41500000000000004,3837,almost_check,LOW
good_hands,second_pair,dry_high,oesd,0.0002,0.0042,89,almost_check,HIGH
good_hands,second_pair,dry_high,onecard_bdfd,0.50925,0.507625,38,pure_mix,LOW
good_hands,second_pair,dry_high,twocards_bdfd,0.757,0.765,636,lean_bet,LOW
good_hands,second_pair,dynamic,flush_draw,0.0015,0.004675,32,almost_check,HIGH
good_hands,second_pair,dynamic,gutshot,0.3091,0.67505,803,lean_check,LOW
good_hands,second_pair,dynamic,no_draw,0.0482,0.9582999999999999,1215,almost_check,LOW
good_hands,second_pair,dynamic,oesd,0.0008,0.5564,491,almost_check,LOW
good_hands,second_pair,dynamic,twocards_bdfd,0.40095000000000003,0.682875,216,pure_mix,LOW
good_hands,second_pair,dynamic_2tone,gutshot,0.5836,0.16080000000000005,45,pure_mix,MED
good_hands,second_pair,dynamic_2tone,oesd,0.3669,0.33299999999999996,93,lean_check,LOW
good_hands,second_pair,low_dry,no_draw,0.3594,0.7067,101,lean_check,LOW
good_hands,second_pair,low_dry,twocards_bdfd,0.36925,0.7918999999999999,84,lean_check,LOW
good_hands,second_pair,monotone,flush_draw,0.00065,0.188275,216,almost_check,MED
good_hands,second_pair,monotone,no_draw,0.1515,0.2279,214,almost_check,MED
good_hands,second_pair,paired,no_draw,0.32655,0.88,564,lean_check,LOW
good_hands,second_pair,paired,twocards_bdfd,0.4851,0.770775,248,pure_mix,LOW
good_hands,third_pair,dry_high,flush_draw,0.0010999999999999998,0.004325,38,almost_check,HIGH
good_hands,third_pair,dry_high,gutshot,0.0002,0.33405,106,almost_check,LOW
good_hands,third_pair,dry_high,no_draw,0.48815,0.718175,436,pure_mix,LOW
good_hands,third_pair,dry_high,oesd,0.0001,0.0001,60,almost_check,HIGH
good_hands,third_pair,dry_high,onecard_bdfd,0.7012,0.23039999999999994,49,lean_bet,MED
good_hands,third_pair,dry_high,twocards_bdfd,0.758,0.7604,280,lean_bet,LOW
good_hands,third_pair,dynamic,gutshot,0.0201,0.6116,546,almost_check,LOW
good_hands,third_pair,dynamic,no_draw,0.0011,0.609925,296,almost_check,LOW
good_hands,third_pair,dynamic,oesd,0.0003,0.447175,468,almost_check,LOW
good_hands,third_pair,dynamic,twocards_bdfd,0.357,0.744475,98,lean_check,LOW
good_hands,third_pair,dynamic_2tone,oesd,0.17635,0.323425,32,almost_check,LOW
good_hands,third_pair,low_dry,no_draw,0.3392,0.43484999999999996,75,lean_check,LOW
good_hands,third_pair,low_dry,twocards_bdfd,0.7401,0.5588500000000001,32,lean_bet,LOW
good_hands,third_pair,monotone,flush_draw,0.0429,0.2133,206,almost_check,MED
good_hands,third_pair,monotone,nut_flush_draw,0.0013,0.20629999999999998,38,almost_check,MED
good_hands,third_pair,paired,no_draw,0.677,0.41369999999999996,181,lean_bet,LOW
good_hands,top_pair,dry_high,flush_draw,0.0001,0.0001,52,almost_check,HIGH
good_hands,top_pair,dry_high,gutshot,0.0007,0.13720000000000002,229,almost_check,MED
good_hands,top_pair,dry_high,no_draw,0.0243,0.5186999999999999,4980,almost_check,LOW
