equity_bucket,mv_simple,board_family,dv_cat,median,count,q25,q75,iqr,pred_3,confidence
good_hands,ace_high,dynamic_2tone,oesd,0.7427,55,0.506,0.7752,0.2692,MIX,MED
good_hands,ace_high,low_dry,gutshot,0.5717,71,0.4839,0.7555499999999999,0.27164999999999995,MIX,MED
good_hands,ace_high,low_dry,twocards_bdfd,0.0725,48,0.0056,0.4761,0.47050000000000003,LOW,LOW
good_hands,ace_high,monotone,combo_draw,0.3767,157,0.0018,0.5713,0.5695,MIX,LOW
good_hands,ace_high,monotone,flush_draw,0.2741,79,0.0015,0.4407,0.4392,MIX,LOW
good_hands,ace_high,monotone,nut_flush_draw,0.4143,268,0.0024,0.7354,0.7330000000000001,MIX,LOW
good_hands,ace_high,paired,gutshot,0.7848,64,0.59965,0.8328,0.23314999999999997,HIGH,MED
good_hands,ace_high,paired,no_draw,0.5983,539,0.40335,0.7911,0.38775000000000004,MIX,LOW
good_hands,ace_high,paired,twocards_bdfd,0.6187,216,0.3528,0.874875,0.522075,MIX,LOW
good_hands,king_high,dry_high,combo_draw,0.0262,35,0.00385,0.8171999999999999,0.8133499999999999,LOW,LOW
good_hands,king_high,dry_high,gutshot,0.7201500000000001,60,0.5845750000000001,0.805775,0.22119999999999995,MIX,MED
good_hands,king_high,dry_high,oesd,0.70635,30,0.67055,0.817425,0.14687499999999998,MIX,MED
good_hands,king_high,dynamic,combo_draw,0.866,31,0.0144,0.9742500000000001,0.9598500000000001,HIGH,LOW
good_hands,king_high,dynamic,gutshot,0.92245,66,0.744775,0.95245,0.20767500000000005,HIGH,MED
good_hands,king_high,dynamic,oesd,0.725,177,0.4551,0.8979,0.4428,MIX,LOW
good_hands,king_high,dynamic_2tone,combo_draw,0.68545,30,0.5182,0.7761,0.2579,MIX,MED
good_hands,king_high,dynamic_2tone,oesd,0.7875,30,0.67015,0.8420749999999999,0.17192499999999988,HIGH,MED
good_hands,king_high,monotone,combo_draw,0.3194,81,0.0018,0.6867,0.6849,MIX,LOW
good_hands,king_high,monotone,flush_draw,0.6255,90,0.1169,0.8448,0.7279,MIX,LOW
good_hands,no_made,dry_high,combo_draw,0.048,55,0.0089,0.4652,0.4563,LOW,LOW
good_hands,no_made,dry_high,flush_draw,0.6715,77,0.4988,0.8405,0.3417,MIX,LOW
good_hands,no_made,dry_high,gutshot,0.83075,316,0.6215,0.9471,0.3256,HIGH,LOW
good_hands,no_made,dry_high,oesd,0.6298,481,0.4039,0.8018,0.3979,MIX,LOW
good_hands,no_made,dynamic,combo_draw,0.6635,65,0.0348,0.9774,0.9426000000000001,MIX,LOW
good_hands,no_made,dynamic,gutshot,0.6956,159,0.5662,0.86155,0.29535,MIX,MED
good_hands,no_made,dynamic,oesd,0.6524,410,0.460625,0.85385,0.393225,MIX,LOW
good_hands,no_made,dynamic_2tone,combo_draw,0.67535,38,0.37875000000000003,0.807475,0.428725,MIX,LOW
good_hands,no_made,low_dry,gutshot,0.67815,64,0.48672499999999996,0.7978,0.311075,MIX,LOW
good_hands,no_made,low_dry,oesd,0.3617,31,0.2858,0.42484999999999995,0.13904999999999995,MIX,MED
good_hands,no_made,monotone,combo_draw,0.4165,162,0.0025,0.7025,0.7000000000000001,MIX,LOW
good_hands,no_made,monotone,flush_draw,0.6603,63,0.4661,0.8131,0.34700000000000003,MIX,LOW
good_hands,no_made,paired,gutshot,0.8915,86,0.8266,0.970275,0.143675,HIGH,MED
good_hands,no_made,paired,oesd,0.6304,36,0.257925,0.9191,0.6611750000000001,MIX,LOW
good_hands,overpair,dry_high,no_draw,0.5611,87,0.36075,0.6723,0.31155,MIX,LOW
good_hands,overpair,dynamic,gutshot,0.9586,200,0.617075,0.996275,0.3792,HIGH,LOW
good_hands,overpair,dynamic,no_draw,0.57405,730,0.29779999999999995,0.772725,0.47492500000000004,MIX,LOW
good_hands,overpair,dynamic,oesd,0.41564999999999996,194,0.004425,0.9043749999999999,0.8999499999999999,MIX,LOW
good_hands,overpair,dynamic_2tone,gutshot,0.7211,30,0.6386,0.785,0.14640000000000009,MIX,MED
good_hands,overpair,dynamic_2tone,oesd,0.69845,30,0.5331,0.8424,0.3093,MIX,LOW
good_hands,overpair,low_dry,no_draw,0.348,108,0.22460000000000002,0.45395,0.22935,MIX,MED
good_hands,overpair,monotone,flush_draw,0.2529,49,0.0001,0.654,0.6539,MIX,LOW
good_hands,overpair,monotone,no_draw,0.3326,96,0.004775,0.571725,0.5669500000000001,MIX,LOW
good_hands,overpair,paired,no_draw,0.5812,174,0.3656,0.74785,0.38225000000000003,MIX,LOW
good_hands,second_pair,dry_high,flush_draw,0.0013,65,0.0002,0.0021,0.0018999999999999998,LOW,HIGH
good_hands,second_pair,dry_high,gutshot,0.0002,264,0.0001,0.056675,0.056575,LOW,HIGH
good_hands,second_pair,dry_high,no_draw,0.0063,3837,0.0002,0.4152,0.41500000000000004,LOW,LOW
good_hands,second_pair,dry_high,oesd,0.0002,89,0.0001,0.0043,0.0042,LOW,HIGH
good_hands,second_pair,dry_high,onecard_bdfd,0.50925,38,0.2666,0.7742249999999999,0.507625,MIX,LOW
good_hands,second_pair,dry_high,twocards_bdfd,0.757,636,0.1844,0.9494,0.765,HIGH,LOW
good_hands,second_pair,dynamic,flush_draw,0.0015,32,0.000575,0.00525,0.004675,LOW,HIGH
good_hands,second_pair,dynamic,gutshot,0.3091,803,0.0003,0.67535,0.67505,MIX,LOW
good_hands,second_pair,dynamic,no_draw,0.0482,1215,0.0001,0.9583999999999999,0.9582999999999999,LOW,LOW
good_hands,second_pair,dynamic,oesd,0.0008,491,0.0001,0.5565,0.5564,LOW,LOW
good_hands,second_pair,dynamic,twocards_bdfd,0.40095000000000003,216,0.09809999999999999,0.780975,0.682875,MIX,LOW
good_hands,second_pair,dynamic_2tone,gutshot,0.5836,45,0.4508,0.6116,0.16080000000000005,MIX,MED
good_hands,second_pair,dynamic_2tone,oesd,0.3669,93,0.238,0.571,0.33299999999999996,MIX,LOW
good_hands,second_pair,low_dry,no_draw,0.3594,101,0.0375,0.7442,0.7067,MIX,LOW
good_hands,second_pair,low_dry,twocards_bdfd,0.36925,84,0.051775,0.843675,0.7918999999999999,MIX,LOW
good_hands,second_pair,monotone,flush_draw,0.00065,216,0.0001,0.188375,0.188275,LOW,MED
good_hands,second_pair,monotone,no_draw,0.1515,214,0.0002,0.2281,0.2279,LOW,MED
good_hands,second_pair,paired,no_draw,0.32655,564,0.0001,0.8801,0.88,MIX,LOW
good_hands,second_pair,paired,twocards_bdfd,0.4851,248,0.1273,0.898075,0.770775,MIX,LOW
good_hands,third_pair,dry_high,flush_draw,0.0010999999999999998,38,0.000525,0.00485,0.004325,LOW,HIGH
good_hands,third_pair,dry_high,gutshot,0.0002,106,2.5e-05,0.334075,0.33405,LOW,LOW
good_hands,third_pair,dry_high,no_draw,0.48815,436,0.0003,0.718475,0.718175,MIX,LOW
good_hands,third_pair,dry_high,oesd,0.0001,60,0.0001,0.0002,0.0001,LOW,HIGH
good_hands,third_pair,dry_high,onecard_bdfd,0.7012,49,0.5231,0.7535,0.23039999999999994,MIX,MED
good_hands,third_pair,dry_high,twocards_bdfd,0.758,280,0.2303,0.9907,0.7604,HIGH,LOW
good_hands,third_pair,dynamic,gutshot,0.0201,546,0.0001,0.6117,0.6116,LOW,LOW
good_hands,third_pair,dynamic,no_draw,0.0011,296,0.0002,0.610125,0.609925,LOW,LOW
good_hands,third_pair,dynamic,oesd,0.0003,468,0.0001,0.447275,0.447175,LOW,LOW
good_hands,third_pair,dynamic,twocards_bdfd,0.357,98,0.060775,0.80525,0.744475,MIX,LOW
good_hands,third_pair,dynamic_2tone,oesd,0.17635,32,0.0534,0.376825,0.323425,LOW,LOW
good_hands,third_pair,low_dry,no_draw,0.3392,75,0.26795,0.7028,0.43484999999999996,MIX,LOW
good_hands,third_pair,low_dry,twocards_bdfd,0.7401,32,0.38139999999999996,0.94025,0.5588500000000001,MIX,LOW
good_hands,third_pair,monotone,flush_draw,0.0429,206,0.0002,0.2135,0.2133,LOW,MED
good_hands,third_pair,monotone,nut_flush_draw,0.0013,38,0.0007,0.207,0.20629999999999998,LOW,MED
good_hands,third_pair,paired,no_draw,0.677,181,0.5077,0.9214,0.41369999999999996,MIX,LOW
good_hands,top_pair,dry_high,flush_draw,0.0001,52,0.0001,0.0002,0.0001,LOW,HIGH
good_hands,top_pair,dry_high,gutshot,0.0007,229,0.0001,0.1373,0.13720000000000002,LOW,MED
good_hands,top_pair,dry_high,no_draw,0.0243,4980,0.0002,0.5188999999999999,0.5186999999999999,LOW,LOW
good_hands,top_pair,dry_high,oesd,0.0004,95,5e-05,0.0027,0.00265,LOW,HIGH
good_hands,top_pair,dry_high,onecard_bdfd,0.20205,40,0.031425,0.3971,0.36567500000000003,LOW,LOW
good_hands,top_pair,dry_high,twocards_bdfd,0.3386,350,0.08107500000000001,0.600725,0.51965,MIX,LOW
good_hands,top_pair,dynamic,gutshot,0.36555,850,0.0005,0.71075,0.71025,MIX,LOW
good_hands,top_pair,dynamic,no_draw,0.4597,2407,0.0005,0.8585499999999999,0.85805,MIX,LOW
good_hands,top_pair,dynamic,oesd,0.1471,517,0.0001,0.7052,0.7051000000000001,LOW,LOW
good_hands,top_pair,dynamic,twocards_bdfd,0.7677499999999999,334,0.50935,0.937875,0.42852500000000004,HIGH,LOW
good_hands,top_pair,dynamic_2tone,gutshot,0.5331,69,0.4458,0.6259,0.18010000000000004,MIX,MED
good_hands,top_pair,dynamic_2tone,no_draw,0.3395,74,0.2856,0.4652,0.17959999999999998,MIX,MED
good_hands,top_pair,dynamic_2tone,oesd,0.4371,69,0.3088,0.6499,0.3411,MIX,LOW
good_hands,top_pair,low_dry,no_draw,0.3577,154,0.154475,0.55,0.395525,MIX,LOW
good_hands,top_pair,low_dry,twocards_bdfd,0.6813,49,0.365,0.8627,0.49770000000000003,MIX,LOW
good_hands,top_pair,monotone,flush_draw,0.0028,262,0.0001,0.26295,0.26285000000000003,LOW,MED
good_hands,top_pair,monotone,no_draw,0.2567,1067,0.0006,0.4281,0.4275,MIX,LOW
good_hands,weak_pair,dry_high,flush_draw,0.0003,41,0.0001,0.0025,0.0024000000000000002,LOW,HIGH
good_hands,weak_pair,dry_high,no_draw,0.1958,1653,0.0003,0.5664,0.5661,LOW,LOW
good_hands,weak_pair,dry_high,onecard_bdfd,0.5663,75,0.06855,0.8001499999999999,0.7315999999999999,MIX,LOW
good_hands,weak_pair,dynamic,gutshot,0.0069,279,0.0003,0.61275,0.61245,LOW,LOW
good_hands,weak_pair,dynamic,no_draw,0.2642,30,0.128025,0.3578,0.229775,MIX,MED
good_hands,weak_pair,dynamic,oesd,0.0009,239,0.00015000000000000001,0.23275,0.2326,LOW,MED
good_hands,weak_pair,low_dry,no_draw,0.14200000000000002,94,0.0305,0.436175,0.405675,LOW,LOW
good_hands,weak_pair,monotone,flush_draw,0.234,119,0.0513,0.3842,0.3329,LOW,LOW
good_hands,weak_pair,paired,no_draw,0.8316,375,0.5315,0.9898499999999999,0.4583499999999999,HIGH,LOW
trash_hands,2P_plus,dry_high,no_draw,0.82665,48,0.1385,0.913325,0.7748250000000001,HIGH,LOW
trash_hands,2P_plus,dynamic,no_draw,0.0001,52,0.0001,0.0001,0.0,LOW,HIGH
trash_hands,ace_high,dry_high,gutshot,0.0016,1322,0.0004,0.6008249999999999,0.600425,LOW,LOW
trash_hands,ace_high,dry_high,no_draw,0.0464,9372,0.0006,0.5661,0.5655,LOW,LOW
trash_hands,ace_high,dry_high,oesd,0.0009,94,0.0007,0.001375,0.0006749999999999999,LOW,HIGH
trash_hands,ace_high,dry_high,onecard_bdfd,0.557,45,0.3813,0.9557,0.5744,MIX,LOW
trash_hands,ace_high,dry_high,twocards_bdfd,0.2272,716,0.03115,0.507275,0.476125,LOW,LOW
trash_hands,ace_high,dynamic,gutshot,0.07765,1924,0.0004,0.5923499999999999,0.59195,LOW,LOW
trash_hands,ace_high,dynamic,no_draw,0.001,5447,0.0002,0.22725,0.22705,LOW,MED
trash_hands,ace_high,dynamic,oesd,0.1056,641,0.0001,0.7712,0.7711,LOW,LOW
trash_hands,ace_high,dynamic,twocards_bdfd,0.19724999999999998,436,0.016050000000000002,0.5258499999999999,0.5097999999999999,LOW,LOW
trash_hands,ace_high,dynamic_2tone,gutshot,0.4372,81,0.1337,0.5936,0.4599,MIX,LOW
trash_hands,ace_high,dynamic_2tone,no_draw,0.2028,198,0.06787499999999999,0.506725,0.43884999999999996,LOW,LOW
trash_hands,ace_high,dynamic_2tone,onecard_bdfd,0.7403,120,0.531425,0.85225,0.3208249999999999,MIX,LOW
trash_hands,ace_high,low_dry,no_draw,0.0984,565,0.0289,0.2963,0.2674,LOW,MED
