spot_id,n,primary_size_pot,board_family,street,family,low_bet_freq,mid_bet_freq,high_bet_freq,polar_score,linear_score,spot_type,size_bucket
AA7_2,2660,1.846,paired,turn,,0.0004206015037593985,0.0006054887218045113,0.007233533834586466,-0.0001848872180451128,0.006812932330827068,linear,big (≥85%)
AA7_5,2652,1.846,paired,turn,,0.00041729323308270673,3.645876830890625e-05,0.00017435897435897436,0.0003808344647738005,-0.00024293425872373237,linear,big (≥85%)
AA7_7,2653,0.198,paired,turn,,0.053656475903614456,0.09007873303167421,0.07263288084464554,-0.03642225712805976,0.01897640494103109,linear,small (≤45%)
AA7_A,2633,0.198,paired,turn,,0.21257647951441577,0.2187962765957447,0.2497031914893617,-0.006219797081328915,0.037126711974945936,linear,small (≤45%)
AA7_K,2643,1.846,paired,turn,,0.0002960725075528701,0.0003957575757575758,0.0011319213313161875,-9.968506820470568e-05,0.0008358488237633175,linear,big (≥85%)
BTN_BB_742_fd,6566,1.088,low_dry,flop,,0.5494182704019489,0.4804829329728746,0.7421252131546894,0.06893533742907432,0.19270694275274047,linear,big (≥85%)
BTN_BB_742_rain,6566,1.088,low_dry,flop,,0.5587129719853837,0.4191243539501609,0.7439208282582217,0.13958861803522282,0.18520785627283798,polarized,big (≥85%)
BTN_BB_765_fd,6551,1.088,dynamic_2tone,flop,,0.42567404021937844,0.46425256680845656,0.637046336996337,-0.03857852658907812,0.2113722967769585,linear,big (≥85%)
BTN_BB_765_rain,6550,1.088,dynamic,flop,,0.42789202192448234,0.3670079764174574,0.5778414172266341,0.06088404550702492,0.14994939530215173,linear,big (≥85%)
BTN_BB_A72_fd,6532,0.336,dry_high,flop,,0.6112666258420085,0.5184627757696575,0.6738031230863442,0.09280385007235104,0.06253649724433563,linear,small (≤45%)
BTN_BB_A72_rain,6532,0.336,dry_high,flop,,0.6309635639926515,0.5134138991732394,0.6869390691977955,0.11754966481941209,0.05597550520514394,polarized,small (≤45%)
BTN_BB_A94_fd,6525,0.336,dry_high,flop,,0.6200870869033048,0.486471894691348,0.660206564417178,0.13361519221195683,0.040119477513873125,polarized,small (≤45%)
BTN_BB_A94_rain,6525,0.336,dry_high,flop,,0.6338883720930233,0.5025123181512476,0.668746564417178,0.13137605394177565,0.03485819232415466,polarized,small (≤45%)
BTN_BB_AA7_rain,6492,0.336,paired,flop,,0.6116279556650247,0.48674316583437605,0.6861915588416513,0.12488478983064866,0.07456360317662658,polarized,small (≤45%)
BTN_BB_J73_fd,6546,1.088,dry_high,flop,,0.5336962195121951,0.4469574707627074,0.6494028100183262,0.08673874874948773,0.11570659050613108,linear,big (≥85%)
BTN_BB_J73_rain,6545,1.088,dry_high,flop,,0.4905387804878049,0.3580679973852817,0.623410159118727,0.1324707831025232,0.13287137863092208,polarized,big (≥85%)
BTN_BB_K72_fd,6541,0.336,dry_high,flop,,0.5828119193154034,0.49169279603678684,0.6436628676470587,0.0911191232786166,0.060850948331655275,linear,small (≤45%)
BTN_BB_K72_rain,7087,0.336,dry_high,flop,,0.6192353837471783,0.49399440931295224,0.6706093115124153,0.1252409744342261,0.05137392776523697,polarized,small (≤45%)
BTN_BB_K98_fd,6517,1.088,dry_high,flop,,0.4923084610668302,0.3879744790730215,0.593042276923077,0.10433398199380867,0.1007338158562468,polarized,big (≥85%)
BTN_BB_K98_rain,6517,1.088,dry_high,flop,,0.5062217791411042,0.3880307127766751,0.6090848615384615,0.11819106636442911,0.10286308239735731,polarized,big (≥85%)
